succ mik,fail mik,tot mik,rsucc mik,rfail mik,succ dic,fail dic,tot dic,rsucc dic,rfail dic,stg mik,pair,fem,mle,fam
9,1,10,0.9,0.1,3,7,10,0.3,0.7,Survival to the second instar,md,mrace,drace,mdn6
9,1,10,0.9,0.1,2,8,10,0.2,0.8,Reaching adulthood,md,mrace,drace,mdn6
2,0,2,1,0,3,0,3,1,0,Larval acceptance,dm,drace,mrace,dm7.1
0,2,2,0,1,2,1,3,0.666666667,0.333333333,Survival to the second instar,dm,drace,mrace,dm7.1
0,2,2,0,1,1,2,3,0.333333333,0.666666667,Reaching adulthood,dm,drace,mrace,dm7.1
5,0,5,1,0,5,0,5,1,0,Larval acceptance,dm,drace,mrace,dmn8
2,3,5,0.4,0.6,1,4,5,0.2,0.8,Survival to the second instar,dm,drace,mrace,dmn8
1,4,5,0.2,0.8,1,4,5,0.2,0.8,Reaching adulthood,dm,drace,mrace,dmn8
3,0,3,1,0,2,0,2,1,0,Larval acceptance,dm,drace,mrace,dmn9
0,3,3,0,1,0,2,2,0,1,Survival to the second instar,dm,drace,mrace,dmn9
0,3,3,0,1,0,2,2,0,1,Reaching adulthood,dm,drace,mrace,dmn9
