prod,htc,nhtc,rat,dur,fem,mle,pair,fam
7,0,7,0,na,drace,drace,dd,owd21
7,0,7,0,na,drace,drace,dd,owd21
15,4,11,0.266666667,13,drace,drace,dd,owd21
9,1,8,0.111111111,na,drace,drace,dd,owd21
16,na,na,na,na,drace,drace,dd,owd21
5,5,0,1,19,drace,drace,dd,owd21
10,0,10,0,na,drace,drace,dd,ddn2
6,1,5,0.166666667,16,drace,drace,dd,ddn2
6,0,6,0,na,drace,drace,dd,ddn2
6,6,0,1,46,drace,drace,dd,ddn2
7,0,7,0,na,drace,drace,dd,ddn4
7,1,6,0.142857143,na,drace,drace,dd,ddn4
11,7,4,0.636363636,10,drace,drace,dd,ddn5
8,0,8,0,na,drace,drace,dd,ddn3
11,0,11,0,na,drace,drace,dd,ddn3
12,0,12,0,na,drace,drace,dd,ddn3
3,0,3,0,na,drace,drace,dd,dd32
8,0,8,0,na,drace,drace,dd,dd32
5,4,1,0.8,8,mrace,drace,md,md61
13,4,9,0.307692308,10,mrace,drace,md,md61
11,7,4,0.636363636,9,mrace,drace,md,md61
4,0,4,0,na,mrace,drace,md,md61
16,3,13,0.1875,14,mrace,drace,md,md61
19,12,7,0.631578947,9,mrace,drace,md,md61
15,14,1,0.933333333,12,mrace,drace,md,md61
8,na,na,na,na,mrace,drace,md,md61
5,0,5,0,na,mrace,drace,md,md61
24,19,5,0.791666667,na,mrace,drace,md,md61
27,12,15,0.444444444,na,mrace,drace,md,md61
13,9,4,0.692307692,na,mrace,drace,md,md61
18,5,13,0.277777778,14,mrace,drace,md,md61
16,2,14,0.125,2,mrace,drace,md,md61
22,11,11,0.5,17,mrace,drace,md,md61
17,15,2,0.882352941,18,mrace,drace,md,md61
16,3,13,0.1875,13,mrace,drace,md,md61
16,na,na,na,na,mrace,drace,md,md61
20,na,na,na,na,mrace,drace,md,md61
10,na,na,na,na,mrace,drace,md,md61
17,0,17,0,na,mrace,drace,md,md31
11,9,2,0.818181818,11,mrace,drace,md,md31
18,3,15,0.166666667,9,mrace,drace,md,md31
22,2,20,0.090909091,na,mrace,drace,md,md31
21,1,20,0.047619048,9,mrace,drace,md,md31
20,2,18,0.1,14,mrace,drace,md,md31
26,13,13,0.5,11,mrace,drace,md,md31
16,11,5,0.6875,9,mrace,drace,md,md31
26,na,na,na,9,mrace,drace,md,md31
19,3,16,0.157894737,10,mrace,drace,md,md31
24,14,10,0.583333333,12,mrace,drace,md,md31
18,na,na,na,na,mrace,drace,md,md31
22,10,12,0.454545455,na,mrace,drace,md,md31
15,7,8,0.466666667,na,mrace,drace,md,md31
23,14,9,0.608695652,na,mrace,drace,md,md31
9,4,5,0.444444444,na,mrace,drace,md,md31
17,4,13,0.235294118,na,mrace,drace,md,md31
28,13,15,0.464285714,na,mrace,drace,md,md31
15,8,7,0.533333333,14,mrace,drace,md,md31
15,5,10,0.333333333,12,mrace,drace,md,md31
39,7,32,0.179487179,12,mrace,drace,md,md31
27,0,27,0,na,mrace,drace,md,md31
22,18,4,0.818181818,17,mrace,drace,md,md31
25,11,14,0.44,15,mrace,drace,md,md31
29,na,na,na,na,mrace,drace,md,md31
24,na,na,na,na,mrace,drace,md,md31
8,3,5,0.375,10,mrace,drace,md,md51
6,1,5,0.166666667,10,mrace,drace,md,md51
21,7,14,0.333333333,7,mrace,drace,md,md51
17,6,11,0.352941176,6,mrace,drace,md,md51
10,4,6,0.4,9,mrace,drace,md,md51
23,16,7,0.695652174,10,mrace,drace,md,md51
17,na,na,na,na,mrace,drace,md,md51
11,3,8,0.272727273,na,mrace,drace,md,md51
9,4,5,0.444444444,na,mrace,drace,md,md51
13,0,13,0,na,mrace,drace,md,md51
17,7,10,0.411764706,12,mrace,drace,md,md51
13,4,9,0.307692308,11,mrace,drace,md,md51
14,13,1,0.928571429,16,mrace,drace,md,md51
35,na,na,na,na,mrace,drace,md,md51
23,na,na,na,na,mrace,drace,md,md51
11,7,4,0.636363636,9,mrace,drace,md,owd22
11,5,6,0.454545455,9,mrace,drace,md,owd22
10,10,0,1,na,mrace,drace,md,owd22
12,5,7,0.416666667,6,mrace,drace,md,owd22
11,7,4,0.636363636,9,mrace,drace,md,owd22
13,11,2,0.846153846,8,mrace,drace,md,owd22
13,0,13,0,na,mrace,drace,md,owd22
12,7,5,0.583333333,na,mrace,drace,md,owd22
11,4,7,0.363636364,14,mrace,drace,md,owd22
12,10,2,0.833333333,12,mrace,drace,md,owd22
15,0,15,0,na,mrace,drace,md,owd22
9,9,0,1,16,mrace,drace,md,owd22
9,na,na,na,na,mrace,drace,md,owd22
11,0,11,0,na,mrace,drace,md,owd23
10,0,10,0,na,mrace,drace,md,owd23
8,1,7,0.125,8,mrace,drace,md,owd23
18,9,9,0.5,10,mrace,drace,md,owd23
10,9,1,0.9,9,mrace,drace,md,owd23
12,5,7,0.416666667,8,mrace,drace,md,owd23
3,3,0,1,7,mrace,drace,md,owd23
10,8,2,0.8,na,mrace,drace,md,owd23
17,4,13,0.235294118,na,mrace,drace,md,owd23
16,9,7,0.5625,na,mrace,drace,md,owd23
14,4,10,0.285714286,20,mrace,drace,md,owd23
14,10,4,0.714285714,17,mrace,drace,md,owd23
14,9,5,0.642857143,16,mrace,drace,md,owd23
21,7,14,0.333333333,15,mrace,drace,md,owd23
15,na,na,na,na,mrace,drace,md,owd23
