dis,race,sex,arr,id,group
0,mrace,mle,sep,smm1,ms
1.803,mrace,mle,sep,smm1,ms
1.803,mrace,mle,sep,smm1,ms
0,mrace,mle,sep,smm2,ms
0.75,mrace,mle,sep,smm3,ms
0,mrace,mle,sep,smm3,ms
0,mrace,mle,sep,smm3,ms
0,mrace,mle,sep,smm3,ms
0,mrace,mle,sep,smm3,ms
0,mrace,mle,sep,smm4,ms
2,mrace,mle,sep,smm4,ms
0,mrace,mle,sep,smm4,ms
1.5,mrace,mle,sep,smm6,ms
1.5,mrace,mle,sep,smm6,ms
1,mrace,mle,sep,smm6,ms
2,mrace,mle,sep,smm6,ms
1,mrace,mle,sep,smm6,ms
0,mrace,mle,sep,smm7,ms
0,mrace,mle,sep,smm9,ms
0,mrace,mle,sep,smm9,ms
0,mrace,mle,sep,smm9,ms
0,mrace,mle,sep,smm9,ms
1.5,mrace,mle,sep,smm9,ms
0,mrace,mle,sep,smm10,ms
0.75,mrace,mle,sep,smm10,ms
0,mrace,mle,sep,smm12,ms
0,mrace,mle,sep,smm12,ms
0,mrace,mle,sep,smm12,ms
3.712,mrace,mle,sep,smm12,ms
2.25,mrace,mle,sep,smm12,ms
0,mrace,mle,sep,smm13,ms
0,mrace,mle,sep,smm13,ms
1.803,mrace,mle,sep,smm13,ms
1.803,mrace,mle,sep,smm13,ms
1.5,mrace,mle,sep,smm13,ms
0,mrace,mle,sep,smm14,ms
0,mrace,mle,sep,smm14,ms
1,mrace,mle,sep,smm14,ms
0,mrace,mle,sep,smm15,ms
1,mrace,mle,sep,smm15,ms
1.25,mrace,mle,sep,smm15,ms
0.75,mrace,mle,sep,smm15,ms
1.25,mrace,mle,sep,smm15,ms
2.462,mrace,mle,check,cmm1,mc
0,mrace,mle,check,cmm1,mc
1.75,mrace,mle,check,cmm1,mc
0,mrace,mle,check,cmm3,mc
1.5,mrace,mle,check,cmm3,mc
1.25,mrace,mle,check,cmm3,mc
0,mrace,mle,check,cmm3,mc
1.25,mrace,mle,check,cmm4,mc
1.25,mrace,mle,check,cmm6,mc
2,mrace,mle,check,cmm7,mc
2,mrace,mle,check,cmm7,mc
0,mrace,mle,check,cmm8,mc
0,mrace,mle,check,cmm8,mc
2,mrace,mle,check,cmm8,mc
3.092,mrace,mle,check,cmm8,mc
0,mrace,mle,check,cmm10,mc
2,mrace,mle,check,cmm10,mc
2,mrace,mle,check,cmm10,mc
4,mrace,mle,check,cmm11,mc
1.25,mrace,mle,check,cmm11,mc
4.242,mrace,mle,check,cmm14,mc
0,mrace,mle,check,cmm14,mc
4.242,mrace,mle,check,cmm14,mc
3,mrace,mle,check,cmm15,mc
