dis,race,sex,arr,id
0,mrace,mle,sep,smm3
0,mrace,mle,sep,smm3
0,mrace,mle,sep,smm3
0,mrace,mle,sep,smm4
2,mrace,mle,sep,smm4
0,mrace,mle,sep,smm4
1.5,mrace,mle,sep,smm6
1.5,mrace,mle,sep,smm6
1,mrace,mle,sep,smm6
2,mrace,mle,sep,smm6
1,mrace,mle,sep,smm6
0,mrace,mle,sep,smm7
0,mrace,mle,sep,smm9
0,mrace,mle,sep,smm9
0,mrace,mle,sep,smm9
0,mrace,mle,sep,smm9
1.5,mrace,mle,sep,smm9
0,mrace,mle,sep,smm10
0.75,mrace,mle,sep,smm10
0,mrace,mle,sep,smm12
0,mrace,mle,sep,smm12
0,mrace,mle,sep,smm12
3.712,mrace,mle,sep,smm12
2.25,mrace,mle,sep,smm12
0,mrace,mle,sep,smm13
0,mrace,mle,sep,smm13
1.803,mrace,mle,sep,smm13
1.803,mrace,mle,sep,smm13
1.5,mrace,mle,sep,smm13
0,mrace,mle,sep,smm14
0,mrace,mle,sep,smm14
1,mrace,mle,sep,smm14
0,mrace,mle,sep,smm15
1,mrace,mle,sep,smm15
1.25,mrace,mle,sep,smm15
0.75,mrace,mle,sep,smm15
1.25,mrace,mle,sep,smm15
2.462,mrace,mle,check,cmm1
0,mrace,mle,check,cmm1
1.75,mrace,mle,check,cmm1
0,mrace,mle,check,cmm3
1.5,mrace,mle,check,cmm3
1.25,mrace,mle,check,cmm3
0,mrace,mle,check,cmm3
1.25,mrace,mle,check,cmm4
1.25,mrace,mle,check,cmm6
2,mrace,mle,check,cmm7
2,mrace,mle,check,cmm7
0,mrace,mle,check,cmm8
0,mrace,mle,check,cmm8
2,mrace,mle,check,cmm8
3.092,mrace,mle,check,cmm8
0,mrace,mle,check,cmm10
2,mrace,mle,check,cmm10
2,mrace,mle,check,cmm10
4,mrace,mle,check,cmm11
1.25,mrace,mle,check,cmm11
4.242,mrace,mle,check,cmm14
0,mrace,mle,check,cmm14
4.242,mrace,mle,check,cmm14
3,mrace,mle,check,cmm15
